"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2023","3.8022","3.7985","3.8083","3.7905","","0.27%"
"08/28/2023","3.7920","3.7950","3.8290","3.7800","","-0.28%"
"08/27/2023","3.8027","3.7887","3.8057","3.7887","","0.49%"
"08/25/2023","3.7840","3.7890","3.8290","3.7655","44.88K","-0.25%"
"08/24/2023","3.7935","3.8365","3.8390","3.7860","36.27K","-1.15%"
"08/23/2023","3.8375","3.7900","3.8425","3.7885","42.18K","1.29%"
"08/22/2023","3.7885","3.7565","3.8095","3.7515","42.54K","1.88%"
"08/21/2023","3.7185","3.7160","3.7305","3.6845","59.30K","0.34%"
"08/18/2023","3.7060","3.6880","3.7215","3.6645","54.52K","0.39%"
"08/17/2023","3.6915","3.6475","3.7195","3.6270","73.41K","0.93%"
"08/16/2023","3.6575","3.6600","3.6940","3.6420","69.28K","-0.27%"
"08/15/2023","3.6675","3.7270","3.7490","3.6560","83.18K","-1.56%"
"08/14/2023","3.7255","3.7185","3.7420","3.6870","73.51K","0.17%"
"08/11/2023","3.7190","3.7550","3.7675","3.6950","95.10K","-1.22%"
"08/10/2023","3.7650","3.7875","3.8315","3.7465","81.24K","-0.49%"
"08/09/2023","3.7835","3.7795","3.8270","3.7635","85.71K","0.45%"
"08/08/2023","3.7665","3.8420","3.8420","3.7265","138.60K","-1.79%"
"08/07/2023","3.8350","3.8520","3.8770","3.8250","70.87K","-0.84%"
"08/04/2023","3.8675","3.8995","3.9280","3.8255","79.91K","-0.82%"
"08/03/2023","3.8995","3.8445","3.9040","3.8205","81.96K","1.46%"
"08/02/2023","3.8435","3.9100","3.9210","3.8340","89.27K","-1.66%"
"08/01/2023","3.9085","4.0155","4.0240","3.9040","109.74K","-2.48%"
"07/31/2023","4.0080","3.9300","4.0170","3.9080","115.17K","2.08%"